district,longitude,latitude,num
798,116.4133836971231,39.91092454729957,200.0
物资学院,116.64649936679542,39.93340970178064,65.0
右安门,116.37022263262408,39.88272349789547,182.0
滨河,117.12084959133928,40.14526356343265,10.0
东坝,116.55407540779034,39.967904872363796,99.0
花园桥,116.31654169914528,39.938302230201344,97.0
百善,116.3273808259033,40.17642390030364,6.0
沙子口,116.40757902657872,39.87197506788912,24.0
对外经贸,116.43591409761885,39.98664197835002,71.0
管庄,116.6020458203287,39.922428024968184,516.0
大红门,116.27445437203586,40.133277791661456,511.0
总部基地,116.29550436505122,39.83549976107341,262.0
大屯,116.41004739045904,40.008320270177215,278.0
十里河,116.46861960462613,39.86933435103333,500.0
金顶街,116.17558523808151,39.933052432801674,46.0
蒲黄榆,116.42612436417113,39.870700788915975,138.0
乔庄,116.6960211529495,39.9003590177562,58.0
杨宋,116.68745760652288,40.295384611012175,7.0
大望路,116.48159922093978,39.92182764026913,1184.0
五棵松,116.28179182127191,39.9146627322742,456.0
大栅栏,116.39763370661665,39.90153525297126,251.0
马坡,116.66435139219524,40.18385740700837,38.0
成寿寺,116.44345373566247,39.85858160879256,66.0
汤河口,116.65022913127287,40.741959889816975,5.0
天坛,116.41934215757078,39.88866267302124,1030.0
永顺,109.86358578664593,28.98577448568191,707.0
立水桥,116.4184649640369,40.05302412355236,456.0
张家湾,116.25634983295723,40.71837344701047,46.0
十里堡,116.61632303895149,39.929981005988864,541.0
亚运村,116.4206411073382,40.00248406422588,449.0
酒仙桥,116.49697461804857,39.994358272039214,544.0
左安门,116.4421159988597,39.87816587314223,171.0
德外大街,116.3856713512252,39.963682464144455,134.0
航天桥,116.31669339958995,39.930079852669635,94.0
西坝河,116.44712045885582,39.97130490370251,134.0
六铺炕,116.3958918922328,39.9608844675916,43.0
魏公村,116.32447750249509,39.96267350936121,272.0
姚家园,116.5141825583977,39.947755550090854,560.0
朝外大街/朝外,116.46132949609046,39.92565514014049,580.0
八角,116.20865897309359,39.9199254647679,198.0
石佛营,116.50885381011256,39.93598368602281,144.0
马连道,116.33679686425891,39.88844122367362,428.0
南锣鼓巷,116.82675945890509,40.37332840692857,778.0
德胜门,116.38784127825237,39.961989144241294,732.0
长陵,116.25812147108401,40.3036151847081,18.0
什刹海,116.39398119641308,39.946208120127636,1161.0
九棵树,116.67033231028068,39.886449531198046,252.0
果园,116.4133836971231,39.91092454729957,116.0
马家堡,116.6200717576752,40.20134902335607,532.0
万柳,116.302908288895,39.977844594433996,283.0
云岗,116.16792441143816,39.816319764438354,6.0
双井,116.46734311249644,39.90031473556235,1113.0
马昌营,117.02901761566528,40.144115685741255,1.0
新华大街,116.21675267609443,39.840212366862886,708.0
红庙,116.4882817156285,39.92332513369092,100.0
鲁谷,116.23750805454657,39.90539246976174,526.0
海子角,116.35677697541183,39.72315501088249,3.0
房山城关,115.990869293727,39.705331990205,4.0
劲松,116.46771231606104,39.89060862815421,1652.0
南磨房,116.48994915031616,39.88578273717257,1266.0
西红门,116.3554411951185,39.79580741163512,186.0
东方大学城,116.75142171985253,39.624992944850284,2.0
北关,114.36238189911873,36.11313160776512,58.0
石榴庄,116.42763261912238,39.850019925859506,300.0
太阳宫,116.45293249550537,39.97824889829926,798.0
北苑,116.4228114134503,40.00111419623955,295.0
仁和,101.74444996290991,26.504019493295285,498.0
中关村,116.32834919924306,39.97365627920725,1840.0
马连洼,116.2879649767365,40.03501753702329,223.0
王府井,116.4186675301328,39.92223158631893,653.0
刘家窑,116.42680348313664,39.86244359733987,298.0
玉泉营,116.34908658194092,39.85256729558761,281.0
东四十条,116.43256721071249,39.9398043603906,492.0
二里庄,116.37296623731268,40.003627442004316,95.0
健翔桥,116.3858916893973,39.99359267572788,188.0
颐和园,116.278748991018,40.00486903860049,337.0
地坛,116.42016410711241,39.961629676968066,77.0
花乡,116.33060664098964,39.83328966908995,690.0
小汤山,116.40003847046688,40.182254049479276,87.0
南彩,116.7349950358054,40.15333207479928,6.0
武夷花园,116.69804234034694,39.92059088640049,75.0
黄村,116.33980169618978,39.75159256799696,308.0
双榆树,116.3329790658415,39.97615962347412,290.0
公主坟,116.20094432537391,40.00481729434932,81.0
四季青,116.28106958364192,39.96089359265388,125.0
新发地,116.34917949278153,39.81728778491788,159.0
甘露园,116.52159627377158,39.92183248210245,253.0
西四,116.3796684947226,39.9317540569119,159.0
将台路,116.4959155778354,39.97874291523231,531.0
草房,116.62023021876715,39.9326697151201,227.0
