district,longitude,latitude,num
西城区新街口外大街,116.3772642869235,39.965124041732714,12.0
朝阳区农光东里路,116.47788498906294,39.88759382323176,10.0
通州区运河西大街,116.6873005575672,39.898247206219786,4.0
丰台区开阳路辅路,116.3801454958467,39.87083283575511,1.0
朝阳区红坊路辅路,116.48900299476657,39.83112094109261,1.0
东城区法华寺大街,116.42712553823826,39.89343800134375,1.0
东城区G101(京沈线),116.42240097766279,39.93482727239599,3.0
朝阳区工人体育场东路辅路,116.45357604157272,39.93701608769474,37.0
东城区安定门东大街,116.43586667427437,39.955917936927655,4.0
海淀区锦园南路,116.31482008495743,39.95584675992225,1.0
西城区金城坊街,116.3679672614717,39.922982966409066,8.0
通州区曹大路,116.80189652910177,39.85720755942339,2.0
朝阳区四惠枢纽南路,116.50447494893801,39.912500611898594,3.0
东城区华龙街,116.42240097766279,39.93482727239599,3.0
西城区北京市西街,116.37251358116622,39.91812360584147,1.0
西城区南礼士路二条,116.38502329386758,39.90412220693359,2.0
西城区爱民四巷,116.3874452890141,39.93665559706848,3.0
通州区Y021(辛疃路),116.75085747619558,39.96596026321173,1.0
石景山区杨庄大街辅路,116.19317126444011,39.93080356815497,1.0
顺义区新小街,116.62032732559278,40.12958372563476,1.0
朝阳区亚运村北四环东路,116.49263176006059,40.02746782439922,2.0
东城区东厂胡同,116.41482486572056,39.92860880230858,14.0
通州区融商七路,116.57927503327845,39.76350907617837,8.0
朝阳区宁远南路,116.43714890388134,39.98356412070713,1.0
朝阳区古塔北路,116.54540221149824,39.88329729415946,2.0
东城区冰窖斜街,116.40905566117605,39.89978403890111,1.0
丰台区刘家窑路,116.4132854503478,39.86827219617743,45.0
朝阳区太阳宫北街,116.4580608623737,39.98000074735533,1.0
朝阳区东大桥路,116.45676977098286,39.92236092850632,129.0
朝阳区朝阳门外大街下四条,116.45107479971077,39.9325420493161,3.0
大兴区团忠路,116.41586301763573,39.76237357217353,2.0
东城区东直门内北中街,116.44373384708321,39.94636369444035,1.0
延庆区S216(G6A辅线),116.69442037253073,40.13952122160483,12.0
昌平区北京自行车高速,116.28453003612744,40.09716205275196,7.0
海淀区中关村东路,116.32834919924306,39.97365627920725,93.0
东城区永生巷,116.43405466360304,39.895637940166544,9.0
朝阳区朝阳公园四巷,116.5037537704102,39.93171339144228,1.0
朝阳区三元桥,116.46097240348074,39.963255815964494,2.0
东城区小黄庄北街,116.41764703800564,39.973171838865106,1.0
延庆区太平庄村北街,115.89751199529705,40.42772042993097,2.0
朝阳区安定门外大街,116.41396410848259,39.971233071767934,2.0
丰台区周家庄路,116.46571477835276,39.86337659167176,6.0
海淀区马连洼北路辅路,116.28821818839874,40.040232847408745,1.0
西城区广安门外街,116.33553429586463,39.89603929229981,1.0
丰台区南苑西路,116.37623254980798,39.816569442033575,4.0
