station,longitude,latitude,count
知春路,116.347619,39.98206500000001,165
西土城,116.36087,39.982036,124
牡丹园,116.376341,39.982387,154
健德门,116.387816,39.982833,105
安贞门,116.412371,39.983322,160
芍药居,116.443517,39.9835,56
太阳宫,116.454136,39.97831400000001,53
三元桥,116.462866,39.964996,227
亮马桥,116.468743,39.955006,229
农业展览馆,116.471642,39.946271,113
团结湖,116.468337,39.939382,259
金台夕照,116.468302,39.92263,454
双井,116.469147,39.899171,767
劲松,116.46801,39.890027,901
潘家园,116.467742,39.881537,494
十里河,116.465014,39.87151400000001,264
分钟寺,116.460381,39.857891,35
成寿寺,116.454315,39.851457,32
石榴庄,116.42057,39.85210900000001,285
大红门,116.40578700000002,39.851831,162
角门东,116.392539,39.851482,180
草桥,116.35666299999998,39.85211500000001,157
纪家庙,116.339533,39.850124,68
首经贸,116.32338,39.847691,106
丰台站,116.311475,39.856026,58
泥洼,116.31081299999998,39.8647,64
西局,116.310325,39.872261,77
莲花桥,116.319367,39.902613,30
西钓鱼台,116.304189,39.929644,51
车道沟,116.300321,39.954052,36
长春桥,116.300471,39.964858,115
火器营,116.29561,39.972383,52
大钟寺,116.35182,39.972034,199
五道口,116.344434,39.998568,376
上地,116.326836,40.038699,68
西二旗,116.312555,40.059036,77
龙泽,116.326298,40.076646,45
回龙观,116.342667,40.076423,42
北苑,116.441227,40.048911,50
望京西,116.45556,40.001127,104
光熙门,116.438355,39.974474,129
柳芳,116.439265,39.964106,234
善各庄,116.48476200000002,40.03309,29
来广营,116.47348999999998,40.025913,11
东湖渠,116.474041,40.016019,45
望京,116.475304,40.004532,295
阜通,116.477949,39.997678,609
望京南,116.488469,39.990525,295
将台,116.496253,39.97696,139
东风北桥,116.495267,39.961954,82
枣营,116.481589,39.949941,18
朝阳公园,116.489233,39.949861,14
平乐园,116.483967,39.890758,378
北工大西门,116.484004,39.881028,75
方庄,116.433956,39.867562,203
景泰,116.417168,39.871443,195
大井,116.281826,39.871571,17
郭庄子,116.259835,39.870755,8
大瓦窑,116.246953,39.865215,11
园博园,116.197194,39.881733,0
张郭庄,116.193406,39.864102,0
俸伯,116.69145,40.138304,0
顺义,116.661427,40.136352,5
石门,116.647776,40.136322,8
南法信,116.616411,40.134458,23
后沙峪,116.570793,40.119865,12
花梨坎,116.564223,40.090312,12
国展,116.449744,39.967896,187
孙河,116.54104,40.051264,0
马泉营,116.509638,40.039847,9
崔各庄,116.499145,40.028437,15
望京东,116.4933,40.00927,13
关庄,116.43788899999998,40.007136,12
安立路,116.414285,40.008946,90
北沙滩,116.375561,40.007538,87
六道口,116.359309,40.006718,169
清华东路西口,116.345527,40.0063,240
北安河,116.136825,40.073863,5
温阳路,116.167825,40.074892,1
稻香湖路,116.194753,40.074788,0
屯佃,116.222442,40.074106,14
永丰,116.245001,40.077705,1
永丰南,116.254611,40.071669,4
西北旺,116.264078,40.055297,4
马连洼,116.279261,40.038769,15
农大南路,116.30599,40.030965,48
高碑店,115.880566,39.332334,0
传媒大学,116.563634,39.917551,156
双桥,116.583337,39.915886,129
管庄,116.602046,39.922428,136
八里桥,116.625156,39.912221,19
通州北苑,116.646918,39.907054,35
果园,116.653045,39.899659,18
九棵树,116.66393,39.89646,8
梨园,116.670763,39.884096,22
临河里,116.685467,39.881239,39
土桥,116.692727,39.877731,94
昌平西山口,116.202226,40.250294,4
十三陵景区,116.231846,40.263544,3
昌平,116.237616,40.226413,35
昌平东关,116.268533,40.227946,12
北邵洼,116.287975,40.228114,2
南邵,116.293505,40.21343,10
沙河高教园,116.286757,40.171012,1
沙河,116.295058,40.154693,12
巩华城,116.300434,40.137318,4
生命科学园,116.30055,40.100975,33
阎村东,116.107001,39.73467700000001,0
苏庄,116.131898,39.729197,6
良乡南关,116.147255,39.72947,4
良乡大学城西,116.162684,39.7296,96
良乡大学城,116.17748,39.731492,173
良乡大学城北,116.189861,39.736109,29
广阳城,116.191395,39.754016,5
篱笆房,116.195928,39.766697,13
长阳,116.21926299999998,39.769411,147
稻田,116.225429,39.80050900000001,0
大葆台,116.298159,39.814112,25
T3航站楼,116.619758,40.072776,9
T2航站楼,116.599563,40.085493,6
颐和园西门,116.270777,39.993386,0
茶棚,116.25461,39.988011,2
万安,116.238603,39.989737,0
植物园,116.216186,40.007561,0
香山,116.195044,39.996194,8
紫草坞,116.093276,39.730266,0
阎村,116.098956,39.721888,0
星城,116.067772,39.719734,0
大石河东,116.046084,39.716115,0
马各庄,116.611893,39.960074,0
饶乐府,116.012607,39.707343,2
房山城关,115.996258,39.711685,0
燕山,115.979985,39.72533,0
肖村,116.447088,39.841166,43
小红门,116.465808,39.83399,15
旧宫,116.467432,39.812543,2
亦庄桥,116.486851,39.808826,88
亦庄文化园,116.49701,39.812839,41
万源街,116.511997,39.80917,10
荣京东街,116.519823,39.799521,29
荣昌东街,116.528038,39.789194,9
同济南路,116.546383,39.779147,0
经海路,116.568912,39.789493,11
次渠南,116.587934,39.800804,5
次渠,116.597911,39.809191,6
亦庄火车站,116.608168,39.818345,0
