station,longitude,latitude,count
巴沟,116.298179,39.98067800000001,407
苏州街,116.312768,39.981704,614
知春里,116.336091,39.982061,1003
知春路,116.347619,39.98206500000001,946
西土城,116.36087,39.982036,575
牡丹园,116.376341,39.982387,413
健德门,116.387816,39.982833,503
安贞门,116.412371,39.983322,681
芍药居,116.443517,39.9835,385
太阳宫,116.454136,39.97831400000001,485
三元桥,116.462866,39.964996,615
亮马桥,116.468743,39.955006,537
农业展览馆,116.471642,39.946271,854
团结湖,116.468337,39.939382,1371
金台夕照,116.468302,39.92263,1850
双井,116.469147,39.899171,2202
劲松,116.46801,39.890027,2002
潘家园,116.467742,39.881537,1679
十里河,116.465014,39.87151400000001,1063
分钟寺,116.460381,39.857891,590
成寿寺,116.454315,39.851457,236
石榴庄,116.42057,39.85210900000001,697
大红门,116.40578700000002,39.851831,617
角门东,116.392539,39.851482,505
草桥,116.35666299999998,39.85211500000001,403
纪家庙,116.339533,39.850124,329
首经贸,116.32338,39.847691,298
丰台站,116.311475,39.856026,245
泥洼,116.31081299999998,39.8647,232
西局,116.310325,39.872261,315
莲花桥,116.319367,39.902613,315
西钓鱼台,116.304189,39.929644,260
车道沟,116.300321,39.954052,456
长春桥,116.300471,39.964858,488
火器营,116.29561,39.972383,408
大钟寺,116.35182,39.972034,466
五道口,116.344434,39.998568,896
上地,116.326836,40.038699,157
西二旗,116.312555,40.059036,204
龙泽,116.326298,40.076646,158
回龙观,116.342667,40.076423,188
北苑,116.441227,40.048911,139
望京西,116.45556,40.001127,623
光熙门,116.438355,39.974474,542
柳芳,116.439265,39.964106,650
善各庄,116.48476200000002,40.03309,45
来广营,116.47348999999998,40.025913,99
东湖渠,116.474041,40.016019,276
望京,116.475304,40.004532,941
阜通,116.477949,39.997678,1088
望京南,116.488469,39.990525,1019
将台,116.496253,39.97696,447
东风北桥,116.495267,39.961954,255
枣营,116.481589,39.949941,389
朝阳公园,116.489233,39.949861,273
平乐园,116.483967,39.890758,1840
北工大西门,116.484004,39.881028,964
方庄,116.433956,39.867562,735
景泰,116.417168,39.871443,440
大井,116.281826,39.871571,118
郭庄子,116.259835,39.870755,55
大瓦窑,116.246953,39.865215,22
园博园,116.197194,39.881733,3
张郭庄,116.193406,39.864102,1
俸伯,116.69145,40.138304,1
顺义,116.661427,40.136352,15
石门,116.647776,40.136322,21
南法信,116.616411,40.134458,267
后沙峪,116.570793,40.119865,65
花梨坎,116.564223,40.090312,138
国展,116.449744,39.967896,718
孙河,116.54104,40.051264,17
马泉营,116.509638,40.039847,33
崔各庄,116.499145,40.028437,45
望京东,116.4933,40.00927,265
关庄,116.43788899999998,40.007136,150
安立路,116.414285,40.008946,316
北沙滩,116.375561,40.007538,220
六道口,116.359309,40.006718,521
清华东路西口,116.345527,40.0063,757
北安河,116.136825,40.073863,11
温阳路,116.167825,40.074892,2
稻香湖路,116.194753,40.074788,0
屯佃,116.222442,40.074106,16
永丰,116.245001,40.077705,23
永丰南,116.254611,40.071669,20
西北旺,116.264078,40.055297,21
马连洼,116.279261,40.038769,64
农大南路,116.30599,40.030965,142
高碑店,115.880566,39.332334,0
传媒大学,116.563634,39.917551,602
双桥,116.583337,39.915886,484
管庄,116.602046,39.922428,464
八里桥,116.625156,39.912221,293
通州北苑,116.646918,39.907054,703
果园,116.653045,39.899659,383
九棵树,116.66393,39.89646,97
梨园,116.670763,39.884096,101
临河里,116.685467,39.881239,154
土桥,116.692727,39.877731,146
昌平西山口,116.202226,40.250294,13
十三陵景区,116.231846,40.263544,34
昌平,116.237616,40.226413,143
昌平东关,116.268533,40.227946,33
北邵洼,116.287975,40.228114,17
南邵,116.293505,40.21343,22
沙河高教园,116.286757,40.171012,34
沙河,116.295058,40.154693,35
巩华城,116.300434,40.137318,22
生命科学园,116.30055,40.100975,70
阎村东,116.107001,39.73467700000001,6
苏庄,116.131898,39.729197,23
良乡南关,116.147255,39.72947,46
良乡大学城西,116.162684,39.7296,261
良乡大学城,116.17748,39.731492,265
良乡大学城北,116.189861,39.736109,172
广阳城,116.191395,39.754016,103
篱笆房,116.195928,39.766697,219
长阳,116.21926299999998,39.769411,211
