station,longitude,latitude
惠新西街北口,116.42353200000001,39.994151
大屯路东,116.424567,40.009611
北苑路北,116.424525,40.036821
立水桥南,116.420973,40.048142999999996
立水桥,116.41826699999999,40.059246
天通苑南,116.419113,40.072752
天通苑,116.419233,40.081478000000004
天通苑北,116.419385,40.089597
潞城,116.754522,39.908938
东夏园,116.74010600000001,39.909495
郝家府,116.724216,39.909287
北运河东,116.71375900000001,39.909261
北运河西,116.694826,39.908840999999995
通州北关,116.668081,39.924614
物资学院路,116.64588400000001,39.933079
草房,116.622524,39.930668
常营,116.606123,39.931540000000005
黄渠,116.584911,39.929936
褡裢坡,116.570246,39.929826
青年路,116.52330800000001,39.929458000000004
十里堡,116.508486,39.929239
金台路,116.484909,39.929069
呼家楼,116.46811299999999,39.928979999999996
东大桥,116.45843500000001,39.928663
南锣鼓巷,116.408878,39.943562
北海北,116.393248,39.939519
车公庄西,116.35073600000001,39.938074
白石桥南,116.331686,39.938564
花园桥,116.31756999999999,39.938382
慈寿寺,116.300785,39.939302000000005
海淀五路居,116.28295200000001,39.938607
田村,116.252191,39.9372
廖公庄,116.23356499999998,39.938022
西黄村,116.213379,39.939411
杨庄,116.19533600000001,39.930221
焦化厂,116.543631,39.861686
双合,116.53306599999999,39.866062
垡头,116.518225,39.867185
欢乐谷景区,116.505928,39.872908
南楼梓庄,116.50781299999998,39.880790000000005
化工,116.49246799999999,39.897571
百子湾,116.50416200000001,39.898706
大郊亭,116.49470500000001,39.899072
九龙山,116.48468799999999,39.899325
广渠门外,116.455905,39.899309
广渠门内,116.440734,39.899617
桥湾,116.415256,39.899013000000004
珠市口,116.40480900000001,39.897338
虎坊桥,116.390649,39.895692
广安门内,116.364636,39.89543
达官营,116.34226699999999,39.89567
湾子,116.334406,39.895901
北京西站,116.328103,39.900835
中国美术馆,116.415449,39.931473
什刹海,116.402555,39.943977000000004
安德里北街,116.401546,39.963578999999996
安华桥,116.40259499999999,39.975004
北土城,116.40065200000001,39.983496
奥体中心,116.40613799999998,39.990549
奥林匹克公园,116.399206,39.999245
森林公园南门,116.39903600000001,40.016211
林萃桥,116.379084,40.027996
永泰庄,116.361199,40.043611999999996
西小口,116.358248,40.052628000000006
育新,116.354009,40.066041999999996
霍营,116.36666699999999,40.077090999999996
回龙观东大街,116.36973300000001,40.086835
平西府,116.35700700000001,40.095764
育知路,116.333754,40.093697999999996
朱辛庄,116.32013,40.110334
天桥,116.404481,39.888709999999996
永定门外,116.40598899999999,39.872783
木樨园,116.41019399999999,39.860426000000004
海户屯,116.40671299999998,39.858265
大红门南,116.407454,39.842626
和义,116.408491,39.821387
东高地,116.41568600000001,39.811433
火箭万源,116.425132,39.805405
五福堂,116.430158,39.791422
德茂,116.44825800000001,39.778312
瀛海,116.45565,39.766581
郭公庄,116.30848700000001,39.820674
丰台科技园,116.30363899999999,39.831449
科怡路,116.303808,39.838664
丰台南路,116.30285400000001,39.847201
丰台东大街,116.300215,39.86144
七里庄,116.30055300000001,39.873014000000005
六里桥,116.317852,39.891116
六里桥东,116.321854,39.893237
白堆子,116.33235900000001,39.929707
巴沟,116.298179,39.980678000000005
苏州街,116.31276799999999,39.981704
知春里,116.336091,39.982061
知春路,116.347619,39.982065000000006
西土城,116.36086999999999,39.982036
牡丹园,116.376341,39.982387
健德门,116.38781599999999,39.982833
安贞门,116.412371,39.983321999999994
芍药居,116.44351699999999,39.9835
太阳宫,116.454136,39.978314000000005
三元桥,116.46286599999999,39.964996
亮马桥,116.46874299999999,39.955006
农业展览馆,116.47164199999999,39.946271
团结湖,116.468337,39.939382
金台夕照,116.46830200000001,39.92263
双井,116.46914699999999,39.899171
劲松,116.46801,39.890027
潘家园,116.46774199999999,39.881537
十里河,116.465014,39.871514000000005
分钟寺,116.46038100000001,39.857890999999995
成寿寺,116.454315,39.851457
石榴庄,116.42057,39.852109000000006
大红门,116.40578700000002,39.851831
角门东,116.39253899999999,39.851482
草桥,116.35666299999998,39.852115000000005
纪家庙,116.339533,39.850124
首经贸,116.32338,39.847691
丰台站,116.311475,39.856026
泥洼,116.31081299999998,39.8647
西局,116.310325,39.872261
莲花桥,116.31936699999999,39.902613
西钓鱼台,116.304189,39.929644
车道沟,116.300321,39.954052000000004
长春桥,116.300471,39.964858
火器营,116.29561000000001,39.972383
大钟寺,116.35181999999999,39.972034
五道口,116.344434,39.998568
上地,116.32683600000001,40.038699
西二旗,116.312555,40.059036
龙泽,116.326298,40.076646000000004
回龙观,116.34266699999999,40.076423
北苑,116.441227,40.048911
望京西,116.45556,40.001127000000004
光熙门,116.438355,39.974474
柳芳,116.43926499999999,39.964106
善各庄,116.48476200000002,40.03309
来广营,116.47348999999998,40.025913
东湖渠,116.47404099999999,40.016019
望京,116.47530400000001,40.004532
阜通,116.477949,39.997678
望京南,116.488469,39.990525
将台,116.496253,39.97696
东风北桥,116.495267,39.961954
枣营,116.48158899999999,39.949940999999995
朝阳公园,116.48923300000001,39.949861
平乐园,116.48396699999999,39.890758
北工大西门,116.484004,39.881028
方庄,116.43395600000001,39.867562
景泰,116.41716799999999,39.871443
大井,116.281826,39.871571
郭庄子,116.25983500000001,39.870754999999996
大瓦窑,116.246953,39.865215
园博园,116.197194,39.881733000000004
张郭庄,116.19340600000001,39.864102
俸伯,116.69145,40.138304
顺义,116.661427,40.136352
石门,116.64777600000001,40.136322
南法信,116.61641100000001,40.134458
后沙峪,116.570793,40.119865000000004
花梨坎,116.564223,40.090312
国展,116.449744,39.967896
孙河,116.54104,40.051264
马泉营,116.509638,40.039846999999995
崔各庄,116.499145,40.028437
望京东,116.4933,40.00927
关庄,116.43788899999998,40.007135999999996
安立路,116.414285,40.008946
