district,longitude,latitude,num
东城区,116.42240097766279,39.93482727239599,4551.0
西城区,116.37251358116622,39.91812360584147,2777.0
朝阳区,116.44955872950158,39.92637452307989,11191.0
丰台区,116.2924018873114,39.864937197557296,3269.0
石景山区,116.22961266775827,39.911353808778294,422.0
海淀区,116.30543405449741,39.96548984110075,4217.0
顺义区,116.66142426369095,40.136350762230755,1566.0
通州区,116.66341535785385,39.916017122432365,1656.0
大兴区,116.34862521223101,39.732555236554475,1389.0
房山区,116.14944375184248,39.75432583977336,952.0
门头沟区,116.10760355576534,39.94614672003409,272.0
昌平区,116.23761791731043,40.22641337159427,1583.0
平谷区,117.12737910459968,40.146950735799116,245.0
密云区,116.84954704426832,40.38217565813752,1896.0
怀柔区,116.6383858714293,40.32261840426579,1481.0
延庆区,115.98163156901516,40.46216897375426,2104.0
